long_name,age,nationality,club,overall
Lionel Andrés Messi Cuccittini,32,Argentina,FC Barcelona,94
Cristiano Ronaldo dos Santos Aveiro,34,Portugal,Juventus,93
Neymar da Silva Santos Junior,27,Brazil,Paris Saint-Germain,92
Jan Oblak,26,Slovenia,Atlético Madrid,91
Eden Hazard,28,Belgium,Real Madrid,91
Kevin De Bruyne,28,Belgium,Manchester City,91
Marc-André ter Stegen,27,Germany,FC Barcelona,90
Virgil van Dijk,27,Netherlands,Liverpool,90
Luka Modrić,33,Croatia,Real Madrid,90
Mohamed  Salah Ghaly,27,Egypt,Liverpool,90
Kylian Mbappé,20,France,Paris Saint-Germain,89
Kalidou Koulibaly,28,Senegal,Napoli,89
Harry Kane,25,England,Tottenham Hotspur,89
Alisson Ramses Becker,26,Brazil,Liverpool,89
David De Gea Quintana,28,Spain,Manchester United,89
N'Golo Kanté,28,France,Chelsea,89
Giorgio Chiellini,34,Italy,Juventus,89
Sergio Leonel Agüero del Castillo,31,Argentina,Manchester City,89
Sergio Ramos García,33,Spain,Real Madrid,89
Luis Alberto Suárez Díaz,32,Uruguay,FC Barcelona,89
Robert Lewandowski,30,Poland,FC Bayern München,89
Sergio Busquets i Burgos,30,Spain,FC Barcelona,89
Antoine Griezmann,28,France,FC Barcelona,89
Paulo Bruno Exequiel Dybala,25,Argentina,Juventus,88
Paul Pogba,26,France,Manchester United,88
Ederson Santana de Moraes,25,Brazil,Manchester City,88
Raheem Sterling,24,England,Manchester City,88
Christian  Dannemann Eriksen,27,Denmark,Tottenham Hotspur,88
Thibaut Courtois,27,Belgium,Real Madrid,88
Gerard Piqué Bernabéu,32,Spain,FC Barcelona,88
Samir Handanovič,34,Slovenia,Inter,88
Manuel Neuer,33,Germany,FC Bayern München,88
Hugo Lloris,32,France,Tottenham Hotspur,88
David Josué Jiménez Silva,33,Spain,Manchester City,88
Edinson Roberto Cavani Gómez,32,Uruguay,Paris Saint-Germain,88
Diego Godín,33,Uruguay,Inter,88
Toni Kroos,29,Germany,Real Madrid,88
Marco Reus,30,Germany,Borussia Dortmund,88
Pierre-Emerick Aubameyang,30,Gabon,Arsenal,88
